,Kingdom,Phylum,Class,Order,Family,Genus,Species,KOK17031_Con_20um_A,KOK17031_Con_20um_B,KOK17031_Con_20um_C,KOK17031_Part_20um_A,KOK17031_Part_20um_B,KOK17031_Part_20um_C,KOK17031_Con_2um_A,KOK17031_Con_2um_B,KOK17031_Con_2um_C,KOK17031_Part_2um_A,KOK17031_Part_2um_B,KOK17031_Part_2um_C,KOK17031_Con_0point2um_A,KOK17031_Con_0point2um_B,KOK17031_Con_0point2um_C,KOK17031_Part_0point2um_A,KOK17031_Part_0point2um_B,KOK17031_Part_0point2um_C,KOK17032_Con_20um_A,KOK17032_Con_20um_B,KOK17032_Con_20um_C,KOK17032_Part_20um_A,KOK17032_Part_20um_B,KOK17032_Part_20um_C,KOK17032_Con_2um_A,KOK17032_Con_2um_B,KOK17032_Con_2um_C,KOK17032_Part_2um_A,KOK17032_Part_2um_B,KOK17032_Part_2um_C,KOK17032_Con_0point2um_A,KOK17032_Con_0point2um_B,KOK17032_Con_0point2um_C,KOK17032_Part_0point2um_A,KOK17032_Part_0point2um_B,KOK17032_Part_0point2um_C,HOT291_Con_20um_A,HOT291_Con_20um_B,HOT291_Con_20um_C,HOT291_Part_20um_A,HOT291_Part_20um_B,HOT291_Part_20um_C,HOT291_Con_2um_A,HOT291_Con_2um_B,HOT291_Con_2um_C,HOT291_Part_2um_A,HOT291_Part_2um_B,HOT291_Part_2um_C,HOT291_Con_0point2um_A,HOT291_Con_0point2um_B,HOT291_Con_0point2um_C,HOT291_Part_0point2um_A,HOT291_Part_0point2um_B,HOT291_Part_0point2um_C,HOT292_Con_20um_A,HOT292_Con_20um_B,HOT292_Con_20um_C,HOT292_Part_20um_A,HOT292_Part_20um_B,HOT292_Part_20um_C,HOT292_Con_2um_A,HOT292_Con_2um_B,HOT292_Con_2um_C,HOT292_Part_2um_A,HOT292_Part_2um_B,HOT292_Part_2um_C,HOT292_Con_0point2um_A,HOT292_Con_0point2um_B,HOT292_Con_0point2um_C,HOT292_Part_0point2um_A,HOT292_Part_0point2um_B,HOT292_Part_0point2um_C
ASV_11,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,NA,0.003351955,0.004134078,0,0.002346369,0.000670391,0.001117318,0.026592179,0.04,0.040670391,0.015418994,0.016536313,0.012178771,0.005139665,0.005586592,0.007039106,0.004469274,0.004469274,0.006145251,0.002458101,0.002011173,0.002011173,0.000111732,0.000446927,0.000893855,0.034636872,0.030614525,0.015195531,0.002234637,0.002681564,0.004581006,0.004692737,0.003798883,0.003910615,0.00122905,0.001452514,0.002122905,0.00849162,0.004022346,0.009050279,0.000111732,0.000223464,0.000335196,0.028156425,0.029944134,0.012178771,0.000223464,0.000446927,0.000446927,0.006927374,0.005586592,0.004804469,0.000223464,0.000446927,0.000670391,0.000111732,0.001005587,0.003463687,0,0,0.000111732,0.011061453,0.016089385,0.009832402,0.000335196,0.000446927,0.00122905,0.002346369,0.001899441,0.001675978,0.000558659,0.000223464,0.000893855
ASV_12,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,NA,0.001005587,0,0,0.00424581,0.003687151,0.005139665,0.000111732,0.000446927,0,0.002346369,0.00301676,0.001340782,0,0,0,0.000446927,0.000670391,0.001564246,0.00972067,0.005139665,0.001564246,0.022905028,0.032402235,0.046368715,0.000335196,0.00122905,0,0.020893855,0.018435754,0.016871508,0.000223464,0.000335196,0.000111732,0.010949721,0.017541899,0.009162011,0.000111732,0,0.000223464,0.030726257,0.033631285,0.041005587,0.001899441,0.000111732,0.000223464,0.031620112,0.036424581,0.03452514,0,0,0,0.018435754,0.026480447,0.022793296,0.000111732,0.000111732,0,0.004357542,0.003240223,0.005363128,0.000335196,0.000335196,0.000223464,0.003687151,0.003351955,0.004134078,0,0.000111732,0,0.003128492,0.002458101,0.003798883
ASV_13,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA,0,0,0,0.002122905,0.010837989,0.005810056,0,0,0.000223464,0.006368715,0.004022346,0.001899441,0.000111732,0,0,0.001117318,0.001117318,0.001564246,0.006927374,0.011955307,0.002346369,0.006592179,0.01027933,0.008826816,0.000335196,0.000111732,0.000782123,0.008715084,0.015307263,0.008715084,0.000111732,0.000223464,0,0.008826816,0.011396648,0.006592179,0.001005587,0,0.003351955,0.024357542,0.02301676,0.021564246,0.000335196,0,0.000335196,0.020670391,0.022905028,0.021899441,0,0,0.000111732,0.026368715,0.027486034,0.030949721,0.00122905,0.001452514,0.000893855,0.00726257,0.015977654,0.006145251,0,0.000111732,0,0.010726257,0.008379888,0.008715084,0,0.000111732,0,0.012178771,0.007932961,0.00547486
ASV_14,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,0,0.005586592,0.000558659,0.001117318,0.000223464,0.00122905,0.004134078,0.001675978,0.002011173,0.002011173,0.002122905,0.00301676,0.009273743,0.009162011,0.01150838,0.007709497,0.009162011,0.007597765,0.003128492,0.001005587,0.001675978,0.000111732,0.000446927,0,0.002346369,0.002793296,0.001005587,0.000223464,0.000223464,0.000782123,0.006592179,0.007709497,0.007932961,0.004804469,0.002905028,0.003910615,0.001564246,0.002011173,0.00122905,0.000223464,0,0.000223464,0.002681564,0.002793296,0.001787709,0,0,0.000111732,0.009385475,0.009273743,0.011731844,0.001117318,0.001005587,0.000670391,0.001005587,0.00122905,0.006145251,0.000111732,0.000223464,0.000111732,0.005251397,0.005810056,0.006703911,0.000558659,0.000670391,0.000782123,0.014748603,0.016312849,0.013854749,0.004916201,0.005921788,0.007150838
ASV_15,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,NA,0.004692737,0.000111732,0,0.002458101,0.000223464,0.000223464,0.003575419,0.002458101,0.001452514,0.003910615,0.002793296,0.005139665,0.015530726,0.014748603,0.017206704,0.01452514,0.012067039,0.011396648,0.006368715,0.002458101,0.002011173,0.000558659,0.000893855,0,0.002458101,0.005139665,0.002234637,0.001005587,0.001340782,0.000670391,0.015195531,0.015307263,0.015195531,0.009273743,0.005586592,0.010391061,0.016871508,0.00726257,0.004581006,0.000335196,0,0.000223464,0.001899441,0.001899441,0.002234637,0,0.000111732,0,0.007709497,0.005586592,0.007932961,0.001005587,0.000446927,0.000335196,0.004357542,0.006368715,0.004469274,0.000223464,0,0,0.000782123,0.000446927,0.000893855,0,0,0,0.002569832,0.002011173,0.002569832,0.000670391,0.000893855,0.000782123
ASV_16,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,NA,0.001899441,0,0,0.009832402,0.005586592,0.008826816,0.000111732,0.000111732,0.000223464,0.003910615,0.003351955,0.001787709,0,0,0,0.000223464,0.001787709,0.000893855,0.005698324,0.020223464,0.001675978,0.03027933,0.016312849,0.016759777,0,0.00122905,0.000446927,0.017988827,0.014636872,0.016424581,0.000335196,0,0,0.008379888,0.014748603,0.003240223,0.000111732,0.000111732,0.002681564,0.028268156,0.022681564,0.023687151,0.000335196,0.000111732,0,0.023687151,0.023240223,0.021564246,0,0,0.000111732,0.011843575,0.014748603,0.017541899,0.000893855,0.004357542,0,0.012402235,0.010167598,0.019553073,0.000111732,0,0,0.010391061,0.011173184,0.008938547,0,0,0,0.006592179,0.00547486,0.004581006
ASV_17,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,NA,0.000111732,0.00301676,0,0.001899441,0.000670391,0.001675978,0.003687151,0.002122905,0.001452514,0.002569832,0.003575419,0.005810056,0.010502793,0.013743017,0.013407821,0.010726257,0.010614525,0.010726257,0.004581006,0.001340782,0.002569832,0,0.000782123,0.000558659,0.00301676,0.003575419,0.001675978,0.001787709,0.001005587,0.00122905,0.01273743,0.012960894,0.014189944,0.008938547,0.003910615,0.009832402,0.01027933,0.003910615,0.006815642,0.000223464,0.000111732,0,0.002793296,0.000893855,0.001452514,0.000111732,0.000111732,0,0.005027933,0.00603352,0.007374302,0.000782123,0.000111732,0.000223464,0.009050279,0.004469274,0.010614525,0,0,0,0.000446927,0.000558659,0.001117318,0.000111732,0.000335196,0.000111732,0.001117318,0.001117318,0.000782123,0.001005587,0.001452514,0.000782123
ASV_18,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,ganghwensis,0,0,0.006815642,0.002011173,0.000335196,0.001005587,0,0,0,0.000558659,0.000335196,0.000223464,0,0,0,0,0,0,0.00726257,0.002793296,0.001452514,0.035418994,0.05027933,0.054078212,0.000223464,0.00122905,0.000335196,0.043798883,0.059776536,0.044804469,0.000335196,0.000111732,0,0.012290503,0.021675978,0.012290503,0,0,0.000111732,0.008715084,0.00603352,0.007932961,0.000335196,0,0,0.009162011,0.007150838,0.006592179,0.000111732,0.000111732,0,0.003240223,0.003351955,0.003463687,0,0.000111732,0,0.007039106,0.006145251,0.007374302,0,0,0,0.003910615,0.005810056,0.004692737,0,0.000111732,0,0.002122905,0.001340782,0.002122905
ASV_19,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4_lineage,NA,0.014860335,0.016536313,0,0.006927374,0.005251397,0.005921788,0.015642458,0.016648045,0.028156425,0.008156425,0.011284916,0.009273743,0.000893855,0.000893855,0.001452514,0.001340782,0.001564246,0.001787709,0.008603352,0.011284916,0.023798883,0.003351955,0.002793296,0.002905028,0.034413408,0.024022346,0.039664804,0.003575419,0.004469274,0.004581006,0.002011173,0.001117318,0.002011173,0.000670391,0.001675978,0.001340782,0.007374302,0.010391061,0.00547486,0.000335196,0.000335196,0.000893855,0.015195531,0.009608939,0.015642458,0.000558659,0.000335196,0.000446927,0.001117318,0.000558659,0.00122905,0.000111732,0,0.000111732,0.003463687,0.005698324,0.00547486,0.000223464,0.000335196,0.000558659,0.005921788,0.004134078,0.004804469,0.000223464,0.000446927,0.000223464,0.000223464,0.000223464,0.000558659,0.000223464,0.000111732,0.000223464
ASV_20,Bacteria,SAR324_clade(Marine_group_B),NA,NA,NA,NA,NA,0.000446927,0,0,0.000893855,0.000111732,0.000670391,0.006592179,0.008268156,0.005363128,0.004469274,0.003575419,0.004916201,0.006815642,0.00972067,0.007486034,0.00849162,0.007932961,0.006815642,0.003351955,0.000782123,0.002458101,0.000111732,0.000335196,0.000335196,0.01452514,0.014413408,0.012513966,0.001452514,0.001117318,0.001899441,0.009050279,0.011061453,0.00972067,0.005363128,0.002011173,0.005810056,0.000782123,0.000782123,0.001452514,0,0,0,0.004916201,0.005363128,0.00301676,0,0,0,0.007150838,0.00547486,0.004804469,0.000446927,0.000335196,0.000335196,0.00122905,0.000893855,0,0,0.000111732,0,0.00726257,0.005921788,0.008268156,0.000223464,0.000111732,0.000558659,0.004804469,0.003798883,0.003351955,0.001117318,0.001340782,0.000670391
ASV_21,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA,0,0.000111732,0,0.000893855,0.00301676,0.001564246,0.000223464,0.000335196,0.000335196,0.001564246,0.001117318,0.00122905,0.000111732,0,0,0.000335196,0.000111732,0.000446927,0.000893855,0.001340782,0.000782123,0.006592179,0.006480447,0.007039106,0,0,0.000223464,0.007821229,0.006592179,0.006703911,0.000223464,0,0,0.002458101,0.003687151,0.001005587,0.000335196,0.001340782,0,0.02972067,0.02603352,0.026480447,0.000782123,0.000335196,0,0.027932961,0.030837989,0.029162011,0,0,0,0.009944134,0.01027933,0.012960894,0.00122905,0.000223464,0,0.013407821,0.012513966,0.010502793,0,0,0.000223464,0.017430168,0.013743017,0.013631285,0.000111732,0,0.000111732,0.005139665,0.004357542,0.003575419
ASV_22,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Defluviimonas,NA,0.000111732,0,0,0,0,0,0,0,0,0.000111732,0,0.000223464,0,0,0,0,0,0.000111732,0,0,0,0,0.000111732,0.000111732,0,0,0,0,0,0,0,0.000111732,0,0,0,0,0.123463687,0.000223464,0,0,0.000111732,0.000223464,0.002681564,0.008826816,0.017094972,0.000223464,0.000111732,0.000111732,0,0.000335196,0,0,0,0,0.019664804,0.016536313,0.044692737,0.000111732,0,0.000223464,0.048715084,0.027597765,0.020893855,0.000335196,0.001005587,0.000335196,0.000111732,0.000335196,0.000670391,0,0.000223464,0
ASV_23,Bacteria,SAR324_clade(Marine_group_B),NA,NA,NA,NA,NA,0,0,0,0,0.000111732,0.000782123,0.001787709,0.001899441,0.000782123,0.002234637,0.00122905,0.003128492,0.009497207,0.008156425,0.010055866,0.009608939,0.008715084,0.007374302,0.002122905,0.000558659,0.001452514,0.000111732,0.000446927,0,0.002905028,0.001675978,0.002234637,0.000446927,0.000446927,0.000558659,0.006145251,0.010167598,0.009832402,0.003351955,0.001117318,0.003575419,0,0.000558659,0.002905028,0.000223464,0,0.000111732,0.001675978,0.002234637,0.002681564,0,0,0,0.011396648,0.011396648,0.010167598,0.000111732,0.000670391,0.000111732,0,0.001117318,0.00122905,0,0,0,0.003687151,0.00301676,0.002346369,0.000111732,0.000111732,0,0.01027933,0.007821229,0.011620112,0.002346369,0.001899441,0.002122905
ASV_24,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,marinus,0.019776536,0.008715084,0.000223464,0.000335196,0.001340782,0.002346369,0.000893855,0.001005587,0.001340782,0.005027933,0.002569832,0.004134078,0.000446927,0.000782123,0.000893855,0.00972067,0.011955307,0.008268156,0.003463687,0.000446927,0.00547486,0.001005587,0.000893855,0.000782123,0.000446927,0.001787709,0.003687151,0.001005587,0.001675978,0.00122905,0.001787709,0.001117318,0.001005587,0.004581006,0.002905028,0.005810056,0.051396648,0.048044693,0.041564246,0.000223464,0.000335196,0.000111732,0.003687151,0.001452514,0.002458101,0.000446927,0.000223464,0.000111732,0.001005587,0.000446927,0.00122905,0.000670391,0.001117318,0.001117318,0.023798883,0.015307263,0.017094972,0.000111732,0.000446927,0.000446927,0.001564246,0.000223464,0.000111732,0.000446927,0.00122905,0.000893855,0.000335196,0.000111732,0,0.003910615,0.003463687,0.003351955
ASV_25,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA,0.057988827,0.074413408,0.024804469,0.005363128,0.00424581,0.005027933,0.011061453,0.00972067,0.017988827,0.006703911,0.005698324,0.005586592,0.001899441,0.001117318,0.001675978,0.002905028,0.002234637,0.002793296,0.012402235,0.013184358,0.021117318,0.004581006,0.001675978,0.000782123,0.016424581,0.011843575,0.012625698,0.003351955,0.002122905,0.002011173,0.001564246,0.000558659,0.001117318,0.000446927,0.001675978,0.000782123,0.001899441,0.00603352,0.002346369,0.000111732,0.000111732,0.000223464,0.002122905,0.002905028,0.002569832,0.000446927,0,0.000223464,0.000335196,0.000335196,0.000223464,0,0,0,0.001117318,0.002234637,0.003798883,0,0,0,0.000670391,0.000782123,0.000893855,0,0.000782123,0.000111732,0,0.000111732,0,0,0,0.000111732
ASV_28,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA,0,0.000670391,0,0.001117318,0.000335196,0.000446927,0.004022346,0.003687151,0.001787709,0.003575419,0.00301676,0.004581006,0.012290503,0.00972067,0.010055866,0.008938547,0.007486034,0.00849162,0.002458101,0.000558659,0.002346369,0,0.000335196,0.000111732,0.003687151,0.003798883,0.000782123,0.001340782,0.000446927,0.00122905,0.008826816,0.010837989,0.009944134,0.007374302,0.002458101,0.007039106,0.001675978,0.003351955,0.00301676,0.000223464,0.000223464,0,0.001564246,0.001564246,0.002122905,0.000111732,0.000223464,0,0.005363128,0.002793296,0.00424581,0.000558659,0.000335196,0.000223464,0.003910615,0.001005587,0.001117318,0,0,0,0.001005587,0.001005587,0.001005587,0.000335196,0.000223464,0.000446927,0.000446927,0.001899441,0.001340782,0.000446927,0.000670391,0.000782123
