,Kingdom,Phylum,Class,Order,Family,Genus,Species,,KOK17031_Con_20um_A,KOK17031_Con_20um_B,KOK17031_Con_20um_C,KOK17031_Part_20um_A,KOK17031_Part_20um_B,KOK17031_Part_20um_C,KOK17031_Con_2um_A,KOK17031_Con_2um_B,KOK17031_Con_2um_C,KOK17031_Part_2um_A,KOK17031_Part_2um_B,KOK17031_Part_2um_C,KOK17031_Con_0point2um_A,KOK17031_Con_0point2um_B,KOK17031_Con_0point2um_C,KOK17031_Part_0point2um_A,KOK17031_Part_0point2um_B,KOK17031_Part_0point2um_C,KOK17032_Con_20um_A,KOK17032_Con_20um_B,KOK17032_Con_20um_C,KOK17032_Part_20um_A,KOK17032_Part_20um_B,KOK17032_Part_20um_C,KOK17032_Con_2um_A,KOK17032_Con_2um_B,KOK17032_Con_2um_C,KOK17032_Part_2um_A,KOK17032_Part_2um_B,KOK17032_Part_2um_C,KOK17032_Con_0point2um_A,KOK17032_Con_0point2um_B,KOK17032_Con_0point2um_C,KOK17032_Part_0point2um_A,KOK17032_Part_0point2um_B,KOK17032_Part_0point2um_C,HOT291_Con_20um_A,HOT291_Con_20um_B,HOT291_Con_20um_C,HOT291_Part_20um_A,HOT291_Part_20um_B,HOT291_Part_20um_C,HOT291_Con_2um_A,HOT291_Con_2um_B,HOT291_Con_2um_C,HOT291_Part_2um_A,HOT291_Part_2um_B,HOT291_Part_2um_C,HOT291_Con_0point2um_A,HOT291_Con_0point2um_B,HOT291_Con_0point2um_C,HOT291_Part_0point2um_A,HOT291_Part_0point2um_B,HOT291_Part_0point2um_C,HOT292_Con_20um_A,HOT292_Con_20um_B,HOT292_Con_20um_C,HOT292_Part_20um_A,HOT292_Part_20um_B,HOT292_Part_20um_C,HOT292_Con_2um_A,HOT292_Con_2um_B,HOT292_Con_2um_C,HOT292_Part_2um_A,HOT292_Part_2um_B,HOT292_Part_2um_C,HOT292_Con_0point2um_A,HOT292_Con_0point2um_B,HOT292_Con_0point2um_C,HOT292_Part_0point2um_A,HOT292_Part_0point2um_B,HOT292_Part_0point2um_C
ASV_11,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,NA,ASV_11,47,185,0,21,7,13,1347,1286,1330,204,223,283,484,277,413,331,166,133,25,37,58,6,13,17,1177,1175,241,46,70,105,329,325,411,79,44,184,313,96,339,1,2,11,859,1387,215,15,23,24,573,287,314,27,29,20,2,39,171,3,2,6,388,788,268,30,44,33,207,155,192,24,26,55
ASV_12,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,NA,ASV_12,12,0,0,38,36,60,9,10,0,36,49,50,1,0,3,45,29,29,101,98,54,549,727,1078,11,45,1,395,379,494,33,8,5,560,603,680,1,1,6,569,419,764,43,4,4,1039,1475,1493,1,0,1,1132,1273,1103,5,3,1,179,120,285,6,9,4,134,147,165,2,2,0,173,120,239
ASV_13,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA,ASV_13,0,1,1,19,116,64,0,1,6,85,60,62,1,0,0,130,79,49,74,280,54,168,219,205,9,17,8,196,279,241,16,14,2,478,408,515,32,0,109,465,276,432,19,1,6,713,883,1053,1,0,1,1655,1266,1386,20,55,47,285,710,239,4,1,2,417,333,385,1,1,2,666,440,417
ASV_14,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_14,0,283,11,10,3,14,176,70,59,31,24,88,846,578,637,672,291,221,32,24,47,5,13,3,93,127,20,10,10,25,633,664,887,229,99,366,81,54,43,2,0,3,63,144,32,3,3,4,1105,558,847,44,39,40,17,63,209,4,4,2,172,274,196,34,30,30,1310,1198,1213,256,329,390
ASV_15,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,NA,ASV_15,71,7,0,22,3,5,188,97,61,52,40,132,1241,863,870,1046,416,338,62,43,41,7,21,0,83,177,38,23,25,26,1264,1153,1496,420,189,698,585,166,202,7,0,2,44,68,32,0,2,3,774,364,577,28,22,25,76,243,191,3,0,1,34,36,16,8,4,6,214,152,194,54,78,82
ASV_16,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,NA,ASV_16,30,1,0,88,59,116,1,9,14,51,55,51,2,1,1,33,42,17,64,431,55,800,361,413,0,42,5,369,284,479,23,2,3,422,583,211,3,2,128,569,293,433,12,6,0,755,833,1000,4,1,2,662,791,669,16,121,0,489,435,872,8,2,6,366,363,357,4,6,2,313,283,219
ASV_17,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,NA,ASV_17,1,129,1,17,6,20,167,67,50,35,45,122,1159,807,715,979,422,299,48,25,65,6,18,9,107,132,34,23,20,24,1172,1071,1351,382,155,714,375,106,263,5,1,1,77,38,27,1,3,3,587,331,391,32,26,22,141,141,457,1,1,3,15,39,17,6,7,9,142,92,101,51,84,69
ASV_18,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,ganghwensis,ASV_18,0,0,205,18,3,13,1,0,0,8,6,6,2,0,0,4,5,2,80,72,31,920,1109,1276,11,65,5,859,1165,1336,48,7,0,501,818,877,2,0,2,149,78,146,6,0,0,288,310,320,1,2,4,186,178,160,0,2,0,280,283,303,1,2,0,203,195,214,2,1,0,113,72,134
ASV_19,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4_lineage,NA,ASV_19,234,857,1,62,55,73,745,534,1048,102,165,210,127,55,101,144,73,47,93,235,592,79,63,44,1205,1078,685,66,81,124,145,107,148,44,59,95,277,197,196,5,5,25,524,466,263,26,18,15,87,28,46,7,4,6,55,223,213,9,7,11,215,210,94,12,13,10,27,28,37,9,6,21
ASV_20,Bacteria,SAR324_clade(Marine_group_B),NA,NA,NA,NA,NA,ASV_20,6,0,0,8,1,7,346,257,157,57,49,105,645,466,399,744,318,200,35,20,64,1,11,5,470,577,200,33,21,55,810,928,990,208,70,410,24,10,58,1,0,0,128,231,58,2,2,1,679,275,373,23,25,21,31,17,0,2,2,0,271,327,190,22,11,14,387,246,336,47,51,36
ASV_21,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA,ASV_21,0,1,0,8,34,17,12,9,6,19,11,25,2,1,1,20,9,9,10,25,26,166,166,186,0,3,6,145,139,203,14,3,0,67,145,100,12,26,2,588,306,521,33,15,0,929,1306,1394,2,2,0,592,564,573,20,7,0,527,556,580,7,6,6,609,531,499,3,1,3,261,242,177
ASV_22,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Defluviimonas,NA,ASV_22,1,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,1,1,0,1,0,0,1,1,0,6,1,0,1,1,2,3,0,0,0,0,4593,7,0,0,1,5,91,393,294,4,4,9,11,13,1,1,1,1,288,658,2054,8,1,3,1848,1388,485,17,33,32,21,24,29,2,2,4
ASV_23,Bacteria,SAR324_clade(Marine_group_B),NA,NA,NA,NA,NA,ASV_23,0,0,0,0,1,8,96,66,24,27,16,69,802,524,515,705,324,218,24,11,38,1,10,1,84,82,40,11,10,14,576,679,986,157,59,285,0,11,132,2,0,1,75,75,42,0,1,2,1008,564,669,29,37,18,0,30,61,4,1,0,103,162,71,9,9,9,878,548,946,102,102,118
ASV_24,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,marinus,ASV_24,306,468,18,3,14,24,43,21,51,58,44,85,81,54,48,737,391,243,34,10,141,27,20,26,14,79,60,25,37,32,108,77,117,179,91,345,2049,1046,1638,5,5,4,142,80,44,11,10,12,109,45,76,52,45,34,400,544,774,10,17,17,48,24,7,23,40,41,9,7,3,259,247,246
ASV_25,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA,ASV_25,904,3596,776,48,43,59,548,285,568,78,87,145,134,55,89,190,102,60,131,289,565,87,43,31,532,455,215,54,56,53,137,62,104,44,48,57,77,120,67,1,2,7,60,152,48,12,2,17,40,8,23,3,3,1,14,81,125,2,3,3,22,44,24,3,15,8,6,6,6,5,3,4
ASV_26,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA,ASV_26,100,379,0,9,21,12,422,266,508,59,80,134,9,7,17,18,10,6,34,101,371,19,17,11,385,453,429,37,34,74,11,12,8,10,11,11,290,316,164,17,6,13,614,951,642,69,36,39,13,14,13,8,10,8,144,392,112,26,48,43,1006,676,821,92,95,93,6,11,30,11,23,15
ASV_27,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA,ASV_27,155,2,1,32,13,11,299,167,155,28,37,44,3,2,3,7,7,2,105,116,367,6,15,7,286,237,241,16,16,16,3,4,6,1,5,3,709,619,1006,1,3,12,500,764,496,18,17,16,21,11,4,3,3,1,204,831,629,30,14,12,942,421,548,29,23,39,2,0,15,8,5,5
ASV_28,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA,ASV_28,0,41,1,10,3,8,198,107,63,46,44,105,954,590,574,636,267,237,28,14,79,4,10,5,105,160,14,20,17,28,910,875,1090,297,119,492,69,68,125,2,2,1,46,65,40,2,4,0,422,191,256,14,9,10,62,34,60,0,1,0,46,43,34,6,5,10,125,99,126,25,42,86
ASV_29,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,NA,ASV_29,164,174,0,13,13,43,970,597,577,113,90,186,755,432,451,542,252,157,53,60,291,11,24,15,564,601,84,27,35,71,603,596,802,182,77,311,0,30,1,1,1,0,39,70,8,0,0,2,53,38,35,3,4,4,0,0,0,1,1,0,1,12,1,1,2,0,4,7,3,1,3,1
ASV_30,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA,ASV_30,0,0,3,17,2,5,238,111,27,33,28,53,332,303,205,268,121,110,15,13,51,2,11,1,58,110,18,6,9,11,353,284,395,84,29,122,0,1,3,3,1,2,116,130,31,2,0,3,573,99,378,23,14,17,15,71,0,5,0,2,222,937,212,36,40,33,885,775,1156,191,174,193
ASV_31,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA,ASV_31,9,72,256,14,0,7,146,78,36,35,31,74,787,493,455,499,221,185,33,28,28,4,7,6,124,167,65,12,6,18,719,700,903,229,95,375,30,0,147,1,1,1,43,73,36,1,2,3,511,247,380,24,10,11,46,13,29,0,1,1,45,69,59,7,9,8,226,185,195,28,67,70
ASV_32,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,NA,NA,NA,ASV_32,6,0,0,5,0,8,195,119,75,52,24,86,754,572,564,589,301,222,39,30,53,3,8,2,72,110,34,23,8,26,887,1008,1171,152,66,471,0,1,11,3,1,0,27,54,16,1,2,0,523,336,238,11,13,9,1,0,2,0,0,0,4,9,3,0,0,0,36,34,29,11,11,16
ASV_33,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV_33,1,67,1,14,13,31,2,15,4,26,50,52,1,0,2,32,17,7,73,689,43,170,284,841,13,305,112,228,261,1298,35,11,0,350,222,1927,0,25,17,98,30,100,4,1,3,183,241,384,0,1,0,136,104,107,1,0,0,22,18,56,14,4,9,33,19,48,2,4,0,8,9,9
ASV_34,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_34,21,0,0,17,1,3,89,30,32,12,16,66,681,425,416,495,234,150,26,16,38,4,14,2,36,47,8,10,6,8,619,570,708,200,99,322,283,158,137,2,0,0,16,58,11,0,1,3,520,200,418,28,13,12,137,82,164,2,1,1,51,15,29,7,5,3,245,272,184,59,63,84
ASV_35,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,NA,NA,NA,ASV_35,28,131,0,26,19,20,86,74,71,36,32,77,405,233,205,576,237,150,29,26,119,21,12,12,57,41,34,11,15,14,449,512,931,124,43,228,73,7,165,3,2,4,54,75,9,1,4,4,150,246,165,8,13,14,88,134,60,7,5,1,74,162,55,13,19,12,491,407,642,84,154,126
ASV_36,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Shimia,NA,ASV_36,0,2,2,17,15,33,1,0,3,17,25,18,2,2,0,7,7,3,24,20,0,211,212,279,1,4,9,239,292,380,13,1,1,239,265,480,17,2,149,71,45,114,2,22,2,237,259,258,4,0,2,122,105,92,1,1,1,533,504,687,10,8,5,471,638,596,4,1,1,218,227,248
ASV_37,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina,NA,ASV_37,10,46,0,3,2,3,55,40,39,16,8,51,629,481,522,421,193,134,21,13,18,0,10,2,22,35,4,10,4,5,568,468,675,112,53,256,31,18,41,0,0,1,20,63,14,4,2,2,600,453,453,38,28,20,6,70,260,1,1,2,23,46,19,2,6,4,273,262,284,65,53,69
ASV_38,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,caribbeanicus,ASV_38,0,1,0,18,38,48,8,1,2,30,27,33,4,1,6,31,32,19,32,385,7,292,185,196,0,75,7,74,136,89,6,6,4,300,412,192,0,1,74,540,276,243,1,1,1,357,549,329,4,3,3,457,340,300,3,0,0,178,295,198,3,4,1,233,276,184,3,0,6,203,188,184
ASV_39,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,NA,NA,NA,ASV_39,22,106,0,17,5,11,567,339,218,65,48,122,310,191,221,289,129,81,4,29,90,4,7,3,285,229,52,10,9,30,158,137,177,38,26,88,98,7,0,0,3,3,263,478,158,5,8,12,347,136,226,21,17,10,1,193,76,1,1,2,175,465,135,23,23,19,267,115,199,31,32,48
ASV_40,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Bythopirellula,NA,ASV_40,77,587,0,24,9,23,109,119,120,23,32,36,65,13,46,85,38,16,21,22,95,19,15,13,165,136,93,26,21,15,52,38,51,26,41,40,1178,897,1161,9,6,27,563,638,163,10,13,16,385,97,149,19,11,13,13,2,1,1,0,0,2,0,1,2,1,1,0,0,0,0,1,2
ASV_41,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA,ASV_41,281,61,0,91,147,165,103,72,226,65,139,165,8,1,2,36,7,7,23,57,182,46,102,117,103,64,157,45,76,172,7,2,0,22,10,15,207,132,615,9,4,11,156,187,172,25,33,34,5,5,3,2,1,2,78,949,167,181,122,290,421,178,223,122,145,168,0,0,13,27,31,12
ASV_42,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA,ASV_42,8,99,1,44,51,45,14,3,3,15,27,37,1,0,1,23,29,10,50,222,10,420,363,481,15,8,7,382,272,437,9,3,1,213,301,196,123,0,28,180,130,248,8,12,0,352,395,443,2,2,0,272,279,206,6,2,0,58,42,127,14,4,2,55,53,79,2,1,0,34,19,53
ASV_43,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,ASV_43,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,5,1,0,8,17,9,3,0,0,9,15,19,2,0,1,19,16,21,1,16,0,90,41,96,6,0,3,227,400,313,1,1,1,458,357,329,2,0,1,294,247,376,1,1,4,423,425,481,0,1,0,568,662,1001
ASV_44,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Umboniibacter,NA,ASV_44,6,0,148,39,33,25,3,10,3,22,28,33,4,0,1,37,49,25,37,118,11,391,175,172,4,11,22,154,123,115,2,12,2,252,311,278,24,28,0,104,54,124,6,16,2,108,133,156,4,4,3,185,177,182,1,0,0,375,156,451,5,2,2,223,302,283,4,0,3,270,271,657
ASV_45,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_45,0,109,1,3,4,3,65,38,36,17,13,44,309,231,211,264,106,83,6,3,3,1,10,2,25,33,18,7,3,13,284,189,320,59,28,131,0,31,1,3,0,1,27,80,6,1,1,4,438,257,378,21,18,13,8,13,0,2,4,3,125,158,101,21,9,10,741,597,665,127,150,216
ASV_46,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,ASV_46,0,0,54,0,1,3,0,0,0,1,1,1,1,0,1,1,0,0,17,1,25,16,49,29,9,0,0,39,44,43,1,2,0,54,29,80,14,3,0,151,85,190,7,1,0,399,465,485,1,0,0,710,590,488,2,0,0,189,152,247,0,4,0,215,260,289,0,0,0,325,388,534
ASV_47,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,NA,NA,ASV_47,68,1,0,71,78,85,91,40,116,67,80,48,15,7,14,42,52,39,75,361,64,613,142,120,43,47,68,237,161,97,15,14,12,218,294,35,164,159,422,44,21,29,128,204,78,77,41,78,12,5,12,17,17,20,59,33,221,49,114,82,211,112,87,114,99,71,25,9,11,45,82,27
ASV_48,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,NA,ASV_48,0,0,0,6,13,14,5,1,12,10,16,16,0,5,1,13,9,12,35,87,23,199,172,162,6,39,5,111,102,169,8,7,0,243,256,325,23,24,47,120,86,134,18,10,0,145,197,229,0,0,1,262,238,253,58,15,58,283,134,400,15,5,4,144,289,196,0,1,0,291,282,427
ASV_49,Bacteria,Chloroflexi,JG30-KF-CM66,NA,NA,NA,NA,ASV_49,23,77,0,0,0,9,242,103,60,22,24,62,484,305,293,337,173,120,12,11,33,3,4,1,137,170,16,11,9,15,360,442,611,108,44,286,0,1,1,0,0,2,111,107,18,2,1,3,616,293,239,12,8,9,0,0,0,1,0,0,16,37,14,1,4,4,71,49,49,6,13,12
ASV_50,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,NA,ASV_50,116,260,0,27,31,75,599,448,309,70,121,188,150,117,127,148,70,70,14,32,49,54,37,30,448,367,93,47,28,62,137,133,201,48,50,58,224,61,134,4,1,6,170,296,41,7,13,7,86,43,49,6,7,8,0,0,72,2,6,2,44,70,25,6,8,7,31,20,19,6,3,6
ASV_51,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,ASV_51,0,156,0,10,20,20,1,0,0,14,20,25,0,0,1,19,10,10,54,1084,30,278,395,551,0,143,6,242,255,374,15,13,1,371,325,536,0,2,0,95,41,106,0,4,0,154,170,188,1,1,0,103,96,104,0,0,0,10,6,7,1,0,1,21,18,26,0,0,0,18,18,27
ASV_52,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina,NA,ASV_52,42,60,1,9,1,11,69,41,29,8,13,46,431,303,359,361,168,105,23,11,37,4,6,5,12,31,33,5,4,6,439,407,506,129,55,254,304,10,279,2,0,0,29,48,3,0,1,0,161,94,113,17,8,9,135,168,522,0,0,2,9,13,4,1,2,3,11,10,3,27,19,26
ASV_53,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,marinus,ASV_53,13,124,0,10,8,7,292,229,144,29,33,51,135,91,102,114,59,50,9,16,0,13,11,6,189,164,51,8,16,21,180,92,154,21,16,37,14,0,8,1,3,8,142,298,24,8,7,9,195,9,150,8,6,4,18,95,125,7,10,3,380,697,374,38,38,43,188,154,142,65,76,88
ASV_54,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Undibacterium,oligocarboniphilum,ASV_54,145,183,2838,41,2,3,29,6,36,1,0,0,1,0,0,2,0,1,9,16,9,0,0,0,30,13,27,0,0,0,0,0,1,0,0,1,186,157,86,0,0,0,17,6,36,0,1,0,0,0,1,0,0,0,234,300,1315,0,0,1,67,9,30,1,3,3,32,26,5,0,0,19
ASV_55,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,NA,NA,NA,ASV_55,0,0,0,0,2,4,62,38,49,10,15,45,225,251,181,256,148,115,15,13,38,4,5,2,5,37,4,7,4,4,247,310,434,23,28,151,0,8,0,1,0,0,33,104,6,1,1,3,814,524,243,21,17,18,0,1,21,1,0,1,36,102,30,9,3,6,290,216,340,54,90,82
ASV_56,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_56,0,4,0,4,0,3,51,21,8,7,18,27,299,208,222,228,108,70,15,7,9,2,7,2,22,25,3,4,5,4,281,206,283,53,22,130,50,1,5,0,0,1,20,28,7,0,4,0,373,192,310,22,14,4,28,29,135,0,2,2,78,127,85,8,12,11,577,487,488,86,123,128
